#,Time,Title,_source_page,_wiki_api,biome_category,game,_matched_categories,final_category,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,Dragon Dream,Bgm00,,unclassified,MapleStory,,,,,,Evan tutorial,DragonDream,StudioEIM,2009,['https://www.youtube.com/watch?v=mM_27SaY7tE']
,,Floral Life,Bgm00,,unclassified,MapleStory,,,,,,Henesys,Henesys,StudioEIM,2003,['https://www.youtube.com/watch?v=s2_MAplvHeQ']
,,Go Picnic,Bgm00,,unclassified,MapleStory,,,,,,"Henesys Market, Southperry",Henesys,StudioEIM,2003,['https://www.youtube.com/watch?v=WUuawkZR0s0']
,,Nightmare,Bgm00,,unclassified,MapleStory,,,,,,Perion,Perion,StudioEIM,2003,['https://www.youtube.com/watch?v=9lwOsX763N0']
,,Rest 'N Peace,Bgm00,,unclassified,MapleStory,,,,,,Henesys field,Henesys,CODASOUND,2003,['https://www.youtube.com/watch?v=SQRqz1D3Xm8']
,,Cava Bien,Bgm01,,unclassified,MapleStory,,,,,,"Henesys Hunting Ground, Henesys field",Henesys,StudioEIM,2003,['https://www.youtube.com/watch?v=ddd2MInZXUU']
,,Moonlight Shadow,Bgm01,,unclassified,MapleStory,,,,,,Ellinia field,Ellinia,CODASOUND,2003,['https://www.youtube.com/watch?v=XYtHWyrVm30']
,,Where the Balrog From,Bgm01,,unclassified,MapleStory,,,,,,Perion: Warriors' Sanctuary (Beta),Perion,CODASOUND,2003,['https://www.youtube.com/watch?v=OC-b2p-D28s']
,,Jungle Book,Bgm02,,unclassified,MapleStory,forest_jungle|city_machine,,,,,Kerning Swamp,KerningCity,CODASOUND,2003,['https://www.youtube.com/watch?v=YYTuDFsvZNU']
,,When the Morning Comes,Bgm02,,unclassified,MapleStory,,,,,,Ellinia,Ellinia,CODASOUND,2003,['https://www.youtube.com/watch?v=gfgBDs8z6WE']
,,Bygone Garden,Bgm03,,unclassified,MapleStory,,,,,,Forgotten Hollow,ForgottenHollow,ASTERIA,2026,['https://www.youtube.com/watch?v=5Lmt2FhLYd0']
,,Elfwood,Bgm03,,unclassified,MapleStory,,,,,,Ellinia: Magic Library (Beta),Ellinia,CODASOUND,2003,['https://www.youtube.com/watch?v=uBUfQcIhim0']
,,Arab Pirate,Bgm04,,unclassified,MapleStory,,,,,,Ship to Orbis (Balrog invasion),Orbis,StudioEIM,2004,['https://www.youtube.com/watch?v=PZLLGX6VNgU']
,,Play With Me,Bgm04,,unclassified,MapleStory,,,,,,Internet Cafe,PcZone,CODASOUND,2003,['https://www.youtube.com/watch?v=3Wwk2CDkV44']
,,Upon the Sky,Bgm04,,unclassified,MapleStory,,,,,,Ship to Orbis,Orbis,CODASOUND,2004,['https://www.youtube.com/watch?v=fTYJEdEcTbA']
,,Warm Regard,Bgm04,,unclassified,MapleStory,,,,,,El Nath field,ElNath,CODASOUND,2004,['https://www.youtube.com/watch?v=MBmPOY2PA2Q']
,,White Christmas,Bgm04,,unclassified,MapleStory,,,,,,Happyville,HappyVillage,StudioEIM,2003,['https://www.youtube.com/watch?v=IzzDrEuFpnE']
,,White Christmas (Alternate Version),Bgm04,,unclassified,MapleStory,,,,,,Happyville (Alternate Version),HappyVillage,StudioEIM,2003,['https://www.youtube.com/watch?v=zAqyNzqqgT0']
,,Hell Gate,Bgm05,,unclassified,MapleStory,cave_underground|hell,,,,,El Nath: The Cave of Trial,ElNathDungeon,StudioEIM,2004,['https://www.youtube.com/watch?v=923LpjaA9Ps']
,,Come With Me,Bgm06,,unclassified,MapleStory,,,,,,Orbis Tower,Orbis,StudioEIM,2004,['https://www.youtube.com/watch?v=sNCwJu5Buz0']
,,Fantastic Thinking,Bgm06,,unclassified,MapleStory,,,,,,Ludibrium,Ludibrium,StudioEIM,2004,['https://www.youtube.com/watch?v=49AZqVhXVeU']
,,Final Fight,Bgm06,,unclassified,MapleStory,,,,,,Zakum boss theme,Zakum,StudioEIM,2004,['https://www.youtube.com/watch?v=rEtDrkAYs68']
,,Flying in a Blue Dream,Bgm06,,unclassified,MapleStory,,,,,,"Ship to Ludibrium, Continental travel (Ossyria)",Ludibrium,CODASOUND,2004,['https://www.youtube.com/watch?v=UywGQsCoj8c']
,,Fantasia,Bgm07,,unclassified,MapleStory,,,,,,Ludibrium Party Quest,AbandonTower,CODASOUND,2005,['https://www.youtube.com/watch?v=v-GtLObPoto']
,,Funny Time Maker,Bgm07,,unclassified,MapleStory,,,,,,"Ludibrium: Eos Tower, Helios Tower",LudiTower1,CODASOUND,2004,['https://www.youtube.com/watch?v=JSPCrPrepRE']
,,High Enough,Bgm07,,unclassified,MapleStory,,,,,,Ludibrium: Eos Tower exterior,LudiTower1,CODASOUND,2004,['https://www.youtube.com/watch?v=iqWeh-dkwu4']
,,Wherever You Are,Bgm07,,unclassified,MapleStory,,,,,,Ludibrium Clocktower: Path of Time,Ludibrium,StudioEIM,2004,['https://www.youtube.com/watch?v=iHbjhiWic0U']
,,For the Glory,Bgm08,,unclassified,MapleStory,,,,,,Omega Sector Silo,OmegaSector,StudioEIM,2004,['https://www.youtube.com/watch?v=aSTjTjakW8s']
,,Let's Hunt Aliens,Bgm08,,unclassified,MapleStory,,,,,,Omega Sector: Boswell Field,OmegaSector,CODASOUND,2004,['https://www.youtube.com/watch?v=pZ6Fuv6BLx4']
,,Let's March,Bgm08,,unclassified,MapleStory,,,,,,Omega Sector,OmegaSector,CODASOUND,2004,['https://www.youtube.com/watch?v=LxQt8EVhBOs']
,,Plot of Pixie,Bgm08,,unclassified,MapleStory,,,,,,Orbis Party Quest boss theme,GoddessTower,StudioEIM,2006,['https://www.youtube.com/watch?v=znPiUenHhP4']
,,Dark Shadow,Bgm09,,unclassified,MapleStory,,,,,,Ludibrium Party Quest: Darkness in the Tower,AbandonTower,StudioEIM,2005,['https://www.youtube.com/watch?v=wWB1hTbtoNQ']
,,Fairy Tale,Bgm09,,unclassified,MapleStory,,,,,,Ludibrium Clocktower: Warped Path of Time,Ludibrium,StudioEIM,2005,['https://www.youtube.com/watch?v=0_PTb2pxygU']
,,Fairy Tale (Faster Version),Bgm09,,unclassified,MapleStory,,,,,,Ludibrium Clocktower: Warped Path of Time,Ludibrium,StudioEIM,2005,['https://www.youtube.com/watch?v=7PO-m2atU2U']
,,They're Menacing You,Bgm09,,unclassified,MapleStory,,,,,,Ludibrium Party Quest boss theme,AbandonTower,StudioEIM,2005,['https://www.youtube.com/watch?v=hYVoxcVK0ns']
,,Time Attack,Bgm09,,unclassified,MapleStory,,,,,,"Papulatus boss theme, Monster Carnival",Papulatus,StudioEIM,2005,['https://www.youtube.com/watch?v=AiaV9gA3i10']
,,Bizzarre Tales,Bgm10,,unclassified,MapleStory,,,,,,Ludibrium Clocktower: Warped Passage,Ludibrium,StudioEIM,2005,['https://www.youtube.com/watch?v=v187PexfsFM']
,,Eregos,Bgm10,,unclassified,MapleStory,,,,,,Ergoth boss theme (Sharenian Guild Quest),Guild,StudioEIM,2006,['https://www.youtube.com/watch?v=rNnYpo9-cRw']
,,The Grotesque Way,Bgm10,,unclassified,MapleStory,,,,,,Ludibrium Clocktower: Forgotten Passage,Ludibrium,StudioEIM,2005,['https://www.youtube.com/watch?v=5Uu68ZwkzrM']
,,Timeless,Bgm10,,unclassified,MapleStory,,,,,,Ludibrium: Forgotten Path of Time,Ludibrium,StudioEIM,2005,['https://www.youtube.com/watch?v=95a3-2TsrrA']
,,Timeless (B),Bgm10,,unclassified,MapleStory,,,,,,Ludibrium: Forgotten Path of Time,Ludibrium,StudioEIM,2005,['https://www.youtube.com/watch?v=PmuoAR2ce3o']
,,Aquarium,Bgm11,,unclassified,MapleStory,,,,,,Aqua Road: Aquarium,AquaRoad,StudioEIM,2005,['https://www.youtube.com/watch?v=qtw0sIBLjrw']
,,Blue World,Bgm11,,unclassified,MapleStory,,,,,,Aqua Road west & central,AquaRoad,CODASOUND,2005,['https://www.youtube.com/watch?v=EnHRl2Wnabk']
,,Ancient Remains,Bgm12,,unclassified,MapleStory,,,,,,"Perion Excavation Site, Sharenian Guild Quest",Perion,StudioEIM,2006,['https://www.youtube.com/watch?v=fdoT7nTWMO8']
,,Deep Sea,Bgm12,,unclassified,MapleStory,cave_underground|sea_underwater,,,,,Aqua Road Dungeon,AquaRoad,StudioEIM,2006,['https://www.youtube.com/watch?v=qc5Qqw7ABAU']
,,Dispute,Bgm12,,unclassified,MapleStory,,,,,,Magatia,Magatia,StudioEIM,2007,['https://www.youtube.com/watch?v=5FDFLwPw0bU']
,,Castle Ruins,Bgm12,,unclassified,MapleStory,,,,,,Perion Castle Ruins,Perion,StudioEIM,2006,['https://www.youtube.com/watch?v=xeks7rE2m0o']
,,Water Way,Bgm12,,unclassified,MapleStory,,,,,,"Perion Castle Waterways, Sharenian Guild Quest",Guild,StudioEIM,2006,['https://www.youtube.com/watch?v=Su6P7juLavE']
,,Leafre,Bgm13,,unclassified,MapleStory,,,,,,Leafre,Leafre,StudioEIM,2006,['https://www.youtube.com/watch?v=theIdIhZzVE']
,,Tower of a Goddess,Bgm13,,unclassified,MapleStory,,,,,,Orbis Party Quest,GoddessTower,StudioEIM,2006,['https://www.youtube.com/watch?v=UEByqQPt2is']
,,Ariant,Bgm14,,unclassified,MapleStory,,,,,,Ariant,Ariant,StudioEIM,2007,['https://www.youtube.com/watch?v=w1RgDSoOajw']
