Name,Played in,_source_page,_wiki_api,biome_category,col2,game,Title,Location,Mark,Artist,Year,_ext_links,#,Time,
,,Bgm00,,cave_underground,,MapleStory,Sleepywood,Sleepywood,Dungeon,StudioEIM,2003,['https://www.youtube.com/watch?v=tWCWIhA3XQw'],,,
,,Bgm01,,cave_underground,,MapleStory,Ancient Move,Sleepywood: Ant Tunnel,Dungeon,StudioEIM,2003,['https://www.youtube.com/watch?v=w9HagZ099c0'],,,
,,Bgm02,,cave_underground,,MapleStory,Evil Eyes,"Sleepywood: Deep Ant Tunnel, Cave of Evil Eyes",Dungeon,CODASOUND,2003,['https://www.youtube.com/watch?v=N49FmJJnfy0'],,,
,,Bgm02,,cave_underground,,MapleStory,Missing You,Ellinia Tree Dungeon,Ellinia,CODASOUND,2003,['https://www.youtube.com/watch?v=2NoF8PHQJqQ'],,,
,,Bgm03,,cave_underground,,MapleStory,Cavern of Shadows,Forgotten Hollow - Deep Passage,ForgottenHollow,ASTERIA,2026,['https://www.youtube.com/watch?v=N9sO6Fk3a6I'],,,
,,Bgm05,,cave_underground,,MapleStory,Abandoned Mine,El Nath: Dead Mine,ElNathDungeon,CODASOUND,2004,['https://www.youtube.com/watch?v=WmHOENuKkmk'],,,
,,Bgm05,,cave_underground,,MapleStory,Mine Quest,El Nath: Zakum Quest,ElNathDungeon,StudioEIM,2004,['https://www.youtube.com/watch?v=8LaAGZ5kxvk'],,,
,,Bgm22,,cave_underground,,MapleStory,Gelimer Lab,Verne Mine: Gelimer Research Lab,Leben,StudioEIM,2010,['https://www.youtube.com/watch?v=6igTXgoof68'],,,
,,Bgm48,,cave_underground,,MapleStory,Black Dungeon,Morass dungeon,Morass,ASTERIA,2017,['https://www.youtube.com/watch?v=PX7VGJ51raw'],,,
,,Bgm53,,cave_underground,,MapleStory,Where the Secret Lies,Ristonia: Underground Passage,Ristonia,ASTERIA,2020,['https://www.youtube.com/watch?v=Ke0GYnF3990'],,,
,,BgmBT,,cave_underground,,MapleStory,Beast Tamer: Kobolt Cave,Arboren: Kobold Pit,ArbrenBT,StudioEIM,2014,['https://www.youtube.com/watch?v=Pyfqoim3jPA'],,,
,,Bgm05,,cave_underground,,MapleStory,Hell Gate,El Nath: The Cave of Trial,ElNathDungeon,StudioEIM,2004,['https://www.youtube.com/watch?v=923LpjaA9Ps'],,,
,,Bgm06,,cave_underground,,MapleStory,Final Fight,Zakum boss theme,Zakum,StudioEIM,2004,['https://www.youtube.com/watch?v=rEtDrkAYs68'],,,
,,Bgm29,,cave_underground,,MapleStory,Abyss Cave,Root Abyss: Vellum boss theme,Bellum,StudioEIM,2012,['https://www.youtube.com/watch?v=iU--7d3GLn8'],,,
,,Bgm29,,cave_underground,,MapleStory,Yggdrasil Prayer,Root Abyss,rootabyss,StudioEIM,2012,['https://www.youtube.com/watch?v=ReqTSo2ervs'],,,
