#,Time,Title,_source_page,_wiki_api,biome_category,game,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,Bad Guys,Bgm01,,city_machine,MapleStory,,,,Kerning City,KerningCity,CODASOUND,2003,['https://www.youtube.com/watch?v=uv8QObpL2EY']
,,Subway,Bgm03,,city_machine,MapleStory,,,,Kerning Subway,KerningCity,StudioEIM,2003,['https://www.youtube.com/watch?v=J1YTQvtmsjg']
,,Waltz For Work,Bgm07,,city_machine,MapleStory,,,,Ludibrium: Toy Factory,Ludibrium,StudioEIM,2004,['https://www.youtube.com/watch?v=CNRFWEhv_Dw']
,,Dark Mountain,Bgm11,,city_machine,MapleStory,,,,Korean Folk Town: Black Mountain,Folkvillige,StudioEIM,2005,['https://www.youtube.com/watch?v=YUeCX11El2s']
,,Down Town,Bgm11,,city_machine,MapleStory,,,,Korean Folk Town,Folkvillige,StudioEIM,2005,['https://www.youtube.com/watch?v=KK_IjvtszTA']
,,Coke Town,Bgm13,,city_machine,MapleStory,,,,Coke Town,CokeTown,StudioEIM,2006,['https://www.youtube.com/watch?v=AfsNt5oZrqw']
,,Pirate,Bgm15,,city_machine,MapleStory,,,,"Herb Town: Red-Nose Pirate Den, Lord Pirate Party Quest",DevijonParty,StudioEIM,2007,['https://www.youtube.com/watch?v=bI9xLsAjeJk']
,,White Herb,Bgm15,,city_machine,MapleStory,,,,Herb Town,WhiteHerb,StudioEIM,2007,['https://www.youtube.com/watch?v=59oze7IkQ10']
,,Secret Flower,Bgm17,,city_machine,MapleStory,,,,Kerning City: The Secret Garden,SecretFlower,StudioEIM,2010,['https://www.youtube.com/watch?v=C0xN8QcxqXk']
,,Under the Subway,Bgm20,,city_machine,MapleStory,,,,Monster Cleanup: Abandoned Subway,KerningCity,StudioEIM,2009,['https://www.youtube.com/watch?v=T-JvjxgfFWo']
,,Edelstein City,Bgm22,,city_machine,MapleStory,,,,Edelstein,Edelstein,StudioEIM,2010,['https://www.youtube.com/watch?v=Iayh6shDnwQ']
,,Destruction Town,Bgm25,,city_machine,MapleStory,,,,Henesys Ruins,destructionTown,StudioEIM,2010,['https://www.youtube.com/watch?v=fM0ZfX9zkL4']
,,Time Gate,Bgm25,,city_machine,MapleStory,,,,Gate to the Future,destructionTown,StudioEIM,2011,['https://www.youtube.com/watch?v=rJKUHOoWNiA']
,,Helisium Field,Bgm28,,city_machine,MapleStory,,,,Heliseum Downtown,helisium,StudioEIM,2012,['https://www.youtube.com/watch?v=jlP7oASTb7w']
,,Edelstein City in Mirror,Bgm33,,city_machine,MapleStory,,,,Mirror World: Edelstein,Edelstein,StudioEIM,2013,['https://www.youtube.com/watch?v=mJhPiB4Y1Sk']
,,Urban Street,Bgm38,,city_machine,MapleStory,,,,Shinsoo International School City Center,spinOff1,StudioEIM,2014,['https://www.youtube.com/watch?v=kW0ZN2ilLqs']
,,Big Machine,Bgm41,,city_machine,MapleStory,,,,"Black Heaven interior, Scrapyard",BlockBuster,StudioEIM,2014,['https://www.youtube.com/watch?v=UtnaLTZSQhc']
,,Big Machine Mission,Bgm41,,city_machine,MapleStory,,,,"Black Heaven interior, Scrapyard",BlockBuster,StudioEIM,2014,['https://www.youtube.com/watch?v=ztmts8aQ2eI']
,,Kinesis Theme I,Bgm43,,city_machine,MapleStory,,,,"Kinesis theme 1, storyline",MSTown,StudioEIM,2015,['https://www.youtube.com/watch?v=YAe-JrI0fms']
,,Kinesis Theme II,Bgm43,,city_machine,MapleStory,,,,"Kinesis theme 2, storyline",MSTown,StudioEIM,2015,['https://www.youtube.com/watch?v=MmWrqpV7f0Q']
,,Kinesis Theme Skill,Bgm43,,city_machine,MapleStory,,,,Kinesis' Mental Overdrive skill,MSTown,StudioEIM,2019,['https://www.youtube.com/watch?v=I1KQv48Y34U']
,,Skyscraper,Bgm43,,city_machine,MapleStory,,,,Kinesis' City (Day),MSTown,StudioEIM,2015,['https://www.youtube.com/watch?v=ZmkzRBeqCYQ']
,,This Too Shall Pass Away,Bgm43,,city_machine,MapleStory,,,,Korean Folk Town sad theme,Folkvillige,StudioEIM,2015,['https://www.youtube.com/watch?v=_2LRgRV1J_8']
,,Unexpected Crisis,Bgm43,,city_machine,MapleStory,,,,Korean Folk Town storyline,Folkvillige,StudioEIM,2015,['https://www.youtube.com/watch?v=bmkAphpVa0s']
,,Unknown Part of City,Bgm43,,city_machine,MapleStory,,,,Kinesis' City (Night),MSTown,StudioEIM,2015,['https://www.youtube.com/watch?v=RplLRguFptU']
,,Unleash,Bgm43,,city_machine,MapleStory,,,,Kinesis' Unleashed skill,MSTown,ASTERIA,2025,['https://www.youtube.com/watch?v=sCaXv3Tb9Is']
,,"Lacheln, The City of Dreams",Bgm46,,city_machine,MapleStory,,,,Lachelein,Lacheln,ASTERIA,2016,['https://www.youtube.com/watch?v=OXAYmDr0fY0']
