Name,Played in,_source_page,_wiki_api,biome_category,col2,game,#,Time,Title
FightSand,Ariant Coliseum,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
HotDesert,Ariant Fields,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
SunsetDesert,Sunset Road,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
VerdelField,Verdel: Sandstorm Zone,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
Oasis in the Desert,Erimos,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
HighlandStar,Perion: Burnt Land,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
AcientRemain,Perion: Excavation Site,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
RuinCastle,Perion: Military Camps,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
Ariant,Ariant,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
Welcome to Hotel Arcs,Hotel Arcus: Saloon,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
Train heading nowhere,Hotel Arcus: Train with No Destination,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
A mechanic with a wander,Hotel Arcus Questline,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
Lonesome Cinema,Hotel Arcs: Nostalgic Drive-in Theater,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
DragonNest,Leafre: Dragon Canyon,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
Pain And Sorrow,Heroes of Maple Questline<br />Dark World Tree: Deserted Camp<br />Moonbridge Questline<br />Ereve: Genesis Weapon Questline,Music,https://maplestory.fandom.com/api.php,desert_rock,,MapleStory,,,
