#,Time,Title,_source_page,_wiki_api,biome_category,game,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,Ancient Forest,Bgm13,,forest_jungle,MapleStory,,,,Leafre: Kentaurus Field,Leafre,StudioEIM,2006,['https://www.youtube.com/watch?v=pWi9HXGWn2k']
,,Minar's Dream,Bgm13,,forest_jungle,MapleStory,,,,Leafre: Minar Forest,Leafre,StudioEIM,2006,['https://www.youtube.com/watch?v=07a-UZLcxhM']
,,Dragon Load,Bgm14,,forest_jungle,MapleStory,,,,Leafre: Dragon Forest,Leafre,StudioEIM,2006,['https://www.youtube.com/watch?v=z3jhg8KffPI']
,,Elin Forest,Bgm15,,forest_jungle,MapleStory,,,,Ellin Forest,EilnForest,StudioEIM,2008,['https://www.youtube.com/watch?v=8FShyABhIAs']
,,Mureung Forest,Bgm15,,forest_jungle,MapleStory,,,,Mu Lung forest,Murueng,StudioEIM,2007,['https://www.youtube.com/watch?v=OweBGLQHWaA']
,,Poison Forest,Bgm15,,forest_jungle,MapleStory,,,,Ellin Forest: Fairy Forest,PoisonForest,StudioEIM,2008,['https://www.youtube.com/watch?v=tc61Xjl4_X8']
,,Queen's Hideout,Bgm15,,forest_jungle,MapleStory,,,,Ellin Forest: Ephenia boss theme,EilnForest,StudioEIM,2011,['https://www.youtube.com/watch?v=tjMTX_gB6bI']
,,The Fairy Forest,Bgm34,,forest_jungle,MapleStory,,,,Ellinel Waterfront,fairyAcademy,StudioEIM,2013,['https://www.youtube.com/watch?v=2516kMhpTHA']
,,Fungus Forest,Bgm54,,forest_jungle,MapleStory,,,,Yum Yum Island: Fungus Forest,YumYum,ASTERIA,2020,['https://www.youtube.com/watch?v=h3EKe2b5kYI']
,,Fungus Forest -Ver. B-,Bgm54,,forest_jungle,MapleStory,,,,Yum Yum Island: Fungus Forest,YumYum,ASTERIA,2020,['https://www.youtube.com/watch?v=DrCzk_r0tUE']
,,Mushbud Forest,Bgm54,,forest_jungle,MapleStory,,,,Yum Yum Island: Yum Yum Village,YumYum,Initium SoundLab,2020,['https://www.youtube.com/watch?v=TD0abMaS0Sk']
,,Arisan Forest,BgmTW,,forest_jungle,MapleStory,,,,Alishan Forest Road,Arisan,StudioEIM,2015,['https://www.youtube.com/watch?v=UhtL8QLEIyM']
,,Arisan Train,BgmTW,,forest_jungle,MapleStory,,,,Alishan Forest Train,Arisan,StudioEIM,2015,['https://www.youtube.com/watch?v=DHCiyODEdUs']
