Name,Played in,_source_page,_wiki_api,biome_category,col2,game
SleepyWood,Sleepywood,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FloralLife,Henesys,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
GoPicnic,Henesys Market,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Nightmare,Perion,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
RestNPeace,Henesys Southern Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DragonDream,Evan Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Silence,Cutscenes,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
neneSound,Nene Chicken event,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AncientMove,Sleepywood: Drake Cave and Ant Tunnel Square,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MoonlightShadow,Ellinia Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WhereTheBalrogFrom,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CavaBien,Henesys Northern Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
HighlandStar,Perion: Burnt Land,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BadGuys,Kerning City,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MissingYou,Ellinia Tree Dungeon,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WhenTheMorningComes,Ellinia,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
EvilEyes,Sleepywood: Cursed Temple,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
JungleBook,Kerning City: Swamp Region,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AboveTheTreetops,Lith Harbor,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Subway,Kerning City: Subway,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Elfwood,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BlueSky,Henesys: Dreamy Forest Trail,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Beachway,Florina Beach (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
SnowyVillage,El Nath,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
PlayWithMe,Kerning City Internet Cafe (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WhiteChristmas,Happyville (KMS),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
UponTheSky,Victoria - Orbis Ship,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
ArabPirate,Victoria - Orbis Ship (Crimson Balrog) (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Shinin'Harbor,Orbis,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
