#,Coordinates,Location,Played when,Time,Title (In-game),Track Name,_ext_links,_source_page,_wiki_api,biome_category,col3,game,"text-align: center;"" |Title","text-align: center;"" |Title (Album)"
1,,,"Main Menu, Loading Screen",1:49,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Salutations,
2,,,Safe Shallows,2:58,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Into The Unknown,
3,,,Floating Island and Safe Shallows,1:42,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Tropical Eden,
4,,,Safe Shallows and during the Dangerous Creatures Update trailer,1:29,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,God Rays,
5,,,Kelp Forest,2:09,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,In Bloom,
6,,,Kelp Forest,2:28,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Sun & Moon,
7,,,Bulb Zone,2:00,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Precipice,
8,,,Safe Shallows,2:10,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Finding Life,
9,,,Jellyshroom Cave,2:21,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Crush Depth,
10,,,Primary Containment Facility,1:20,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,What are You,
11,,,Alien Caches and Grassy Plateaus,2:04,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Original Inhabitants,
12,,,"Floating Island, Underwater Islands, Underwater Islands Caves",1:18,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,A Tendency to Float,
13,,,End credits or when the Cyclops is destroyed,1:43,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Abandon Ship,
14,,,"Inactive Lava Zone, Crater Edge",1:39,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Ahead Slow,
15,,,"Entering the Quarantine Enforcement Platform, Sea Treader's Path, Dunes or Sparse Reef biome",1:40,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Alien Expanse,
16,,,Gravity Lift in the QEP,2:16,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Alien Passageways,
