#,Area,Compatible biomes,Condition,"Damage<ref name=""plantai""/>",Description,Item,Links,Listen,Name,Projectile,Tile and location requirements,Title,_ext_links,_file_links,_source_page,_wiki_api,biome_category,game
1,,,"* Forest, daytime",,"A cheerful, upbeat, and simple tune.",,,300px,,,,Overworld Day,,['Music-Overworld Day.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
2,,,"* Blood Moon
* Meteorite",,A slower and more sinister track.,,,300px,,,,Eerie,,['Music-Eerie.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
3,,,"* Forest, night-time
* The Hallow (surface), night-time",,"Relatively peaceful and relaxing, though in a minor key.",,,300px,,,,Night,,['Music-Overworld Night.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
4,,,"* Underground
* Cavern",,A whimsical track with an almost robotic tone.,,,300px,,,,Underground,,['Music-Underground.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
5,,,* Eye of Cthulhu,,"Loud and frantic battle music, with the scratching sounds at the beginning sounding like a siren.",,,300px,,,,Boss 1,,['Music-Boss 1.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
6,,,* Title screen,,"A serene, solemn tune, but short and hooking.",,,300px,,,,Title,,['Music-Title Screen.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
7,,,"* Jungle, surface, daytime",,"An exotic, relaxed tune, it has a heavy emphasis on percussion.",,,300px,,,,Jungle,,['Music-Jungle.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
8,,,"* The Corruption (surface)
* Remix world generation",,Its melody somewhat resembles the Overworld Day track but altered and slowed to sound much darker and more menacing.,,,300px,,,,Corruption,,['Music-Corruption.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
9,,,"* The Hallow (surface), daytime",,"It has a very happy, heavenly tone and makes use of instruments related to this idea, especially the harp and glockenspiel. It shares a lot of its melody with Overworld Day.",,,300px,,,,The Hallow,,['Music-The Hallow.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
10,,,* Underground Corruption,,"This track is a combination of Corruption and Underground tracks, with a depressing and dark tone.",,,300px,,,,Underground Corruption,,['Music-Underground Corruption.mp3'],Music,https://terraria.wiki.gg/api.php,unclassified,Terraria
