#,Time,Title,_source_page,_wiki_api,biome_category,game
1,2:41,Legends of Azeroth [Main Title],World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
2,2:25,The Shaping of the World [Collector Exclusive],World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
3,2:26,Legacy [Collector Exclusive],World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
4,2:15,Song of Elune [Collector Exclusive],World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
5,1:54,Echoes of the Past [Collector Exclusive],World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
6,2:19,A Call to Arms,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
7,2:58,Seasons of War,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
8,2:15,Stormwind,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
9,2:15,Orgrimmar,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
10,2:28,Undercity,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
11,2:37,Thunder Bluff,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
12,2:45,Darnassus,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
13,2:15,Ironforge,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
14,3:04,Elwynn Forest,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
15,6:02,Duskwood,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
16,7:31,Dun Morogh,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
17,2:27,Burning Steppes,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
18,4:08,Shimmering Flats,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
19,2:38,Felwood,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
20,4:13,Stranglethorn Vale,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
21,2:32,Tanaris,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
22,3:56,Teldrassil,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
23,1:14,Tavern,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
24,0:49,Moonfall,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
25,1:17,Ruins,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
26,1:04,Temple,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
27,1:01,Lurking,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
28,1:11,Sacred,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
29,1:08,Graveyard,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
30,0:48,War,World of Warcraft Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
1,1:58,Warcraft,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
2,3:17,The,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
3,,2:43,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
4,4:45,Honor,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
5,3:43,Forest Ambush,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
6,,3:35,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
7,,3:13,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
8,2:29,The Beginning,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
9,1:34,Strong Bones,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
10,3:02,Victory and Defeat,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
11,2:27,The Book,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
12,3:22,Two Worlds Colliding,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
13,3:43,The Incantation,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
14,1:26,"Half Orc, Half Human",Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
15,1:43,Whatever Happens,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
16,2:31,My Gift to You,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
17,7:25,'s Solution,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
18,,5:01,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
19,2:50,For,Warcraft (Original Motion Picture Soundtrack),https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
1,10:42,Kingdoms Will Burn,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
2,02:31,Relentless,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
3,03:44,Azeroth's Last Hope,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
4,01:33,The Tomb of Sargeras,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
5,03:32,New Dalaran,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
6,04:25,Dark Titan,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
7,03:27,Val'sharah,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
8,02:41,Passages,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
9,07:18,Highmountain,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
10,04:29,Mire,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
11,03:13,Stormheim,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
12,03:32,Artifacts,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
13,02:42,Suramar,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
14,06:09,Demon Hunter,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
15,02:40,Azsuna,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
16,05:22,A World Divided,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
17,03:11,Ley Lines,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
18,04:12,Canticle of Sacrifice,Legion Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
1,3:58,The Burning Legion [Main Title],The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
