game,biome_category,source_page,track_title,source_kind,source,resolved_title,duration_sec,local_path
MapleStory,cave_underground,Bgm00,Sleepywood,ytdlp,https://www.youtube.com/watch?v=tWCWIhA3XQw,[MapleStory BGM] Sleepywood,167,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Sleepywood.mp3
MapleStory,cave_underground,Bgm01,Ancient Move,ytdlp,https://www.youtube.com/watch?v=w9HagZ099c0,[MapleStory BGM] Sleepywood: Ancient Move,260,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Ancient Move.mp3
MapleStory,cave_underground,Bgm02,Evil Eyes,ytdlp,https://www.youtube.com/watch?v=N49FmJJnfy0,[MapleStory BGM] Sleepywood: Evil Eyes,327,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Evil Eyes.mp3
MapleStory,cave_underground,Bgm02,Missing You,ytdlp,https://www.youtube.com/watch?v=2NoF8PHQJqQ,[MapleStory BGM] Ellinia: Missing You,147,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Missing You.mp3
MapleStory,cave_underground,Bgm03,Cavern of Shadows,ytdlp,https://www.youtube.com/watch?v=N9sO6Fk3a6I,[MapleStory Classic World BGM] Forgotten Hollow: Cavern of Shadows,91,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Cavern of Shadows.mp3
MapleStory,cave_underground,Bgm05,Abandoned Mine,ytdlp,https://www.youtube.com/watch?v=WmHOENuKkmk,[MapleStory BGM] El Nath: Abandoned Mine,178,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Abandoned Mine.mp3
MapleStory,cave_underground,Bgm05,Mine Quest,ytdlp,https://www.youtube.com/watch?v=8LaAGZ5kxvk,[MapleStory BGM] El Nath: Mine Quest,186,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Mine Quest.mp3
MapleStory,cave_underground,Bgm22,Gelimer Lab,ytdlp,https://www.youtube.com/watch?v=6igTXgoof68,[MapleStory BGM] Edelstein: Gelimer Lab (KMST 1.2.327),133,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Gelimer Lab.mp3
MapleStory,cave_underground,Bgm48,Black Dungeon,ytdlp,https://www.youtube.com/watch?v=PX7VGJ51raw,[MapleStory BGM] Morass: Black Dungeon,40,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Black Dungeon.mp3
MapleStory,cave_underground,Bgm53,Where the Secret Lies,ytdlp,https://www.youtube.com/watch?v=Ke0GYnF3990,[MapleStory BGM] Ristonia: Where the Secret Lies,115,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Where the Secret Lies.mp3
MapleStory,cave_underground,BgmBT,Beast Tamer: Kobolt Cave,ytdlp,https://www.youtube.com/watch?v=Pyfqoim3jPA,[MapleStory BGM] Beast Tamer: Kobolt Cave (CMST 0.87),107,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Beast Tamer Kobolt Cave.mp3
MapleStory,cave_underground,Bgm05,Hell Gate,ytdlp,https://www.youtube.com/watch?v=923LpjaA9Ps,[MapleStory BGM] El Nath: Hell Gate,150,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Hell Gate.mp3
MapleStory,cave_underground,Bgm06,Final Fight,ytdlp,https://www.youtube.com/watch?v=rEtDrkAYs68,[MapleStory BGM] Zakum: Final Fight,88,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Final Fight.mp3
MapleStory,cave_underground,Bgm29,Abyss Cave,ytdlp,https://www.youtube.com/watch?v=iU--7d3GLn8,[MapleStory BGM] Root Abyss: Abyss Cave (KMST 1.2.465),132,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Abyss Cave.mp3
MapleStory,cave_underground,Bgm29,Yggdrasil Prayer,ytdlp,https://www.youtube.com/watch?v=ReqTSo2ervs,[MapleStory BGM] Root Abyss: Yggdrasil Prayer (KMST 1.2.465),134,/workspaces/small_diffusion/ost_biome_dataset/audio/cave_underground/Yggdrasil Prayer.mp3
