game,biome_category,source_page,track_title,source_kind,source,resolved_title,duration_sec,local_path
MapleStory,city_machine,Bgm01,Bad Guys,ytdlp,https://www.youtube.com/watch?v=uv8QObpL2EY,[MapleStory BGM] Kerning City: Bad Guys,218,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Bad Guys.mp3
MapleStory,city_machine,Bgm03,Subway,ytdlp,https://www.youtube.com/watch?v=J1YTQvtmsjg,[MapleStory BGM] Kerning City: Subway,199,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Subway.mp3
MapleStory,city_machine,Bgm17,Secret Flower,ytdlp,https://www.youtube.com/watch?v=C0xN8QcxqXk,[MapleStory BGM] Kerning City: Secret Flower,148,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Secret Flower.mp3
MapleStory,city_machine,Bgm22,Edelstein City,ytdlp,https://www.youtube.com/watch?v=Iayh6shDnwQ,[MapleStory BGM] Edelstein (KMST 1.2.327),138,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Edelstein City.mp3
MapleStory,city_machine,Bgm33,Edelstein City in Mirror,ytdlp,https://www.youtube.com/watch?v=mJhPiB4Y1Sk,[MapleStory BGM] Mirror World: Edelstein (KMST 1.2.482),119,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Edelstein City in Mirror.mp3
MapleStory,city_machine,Bgm41,Big Machine,ytdlp,https://www.youtube.com/watch?v=UtnaLTZSQhc,[MapleStory BGM] Black Heaven: Big Machine (KMS 1.2.225),131,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Big Machine.mp3
MapleStory,city_machine,Bgm41,Big Machine Mission,ytdlp,https://www.youtube.com/watch?v=ztmts8aQ2eI,[MapleStory BGM] Black Heaven: Big Machine Mission (KMS 1.2.225),135,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Big Machine Mission.mp3
MapleStory,city_machine,Bgm43,Kinesis Theme I,ytdlp,https://www.youtube.com/watch?v=YAe-JrI0fms,[MapleStory BGM] Kinesis Theme I (KMST 1.2.016),134,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Kinesis Theme I.mp3
MapleStory,city_machine,Bgm43,Kinesis Theme II,ytdlp,https://www.youtube.com/watch?v=MmWrqpV7f0Q,[MapleStory BGM] Kinesis Theme II (KMS 1.2.240),127,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Kinesis Theme II.mp3
MapleStory,city_machine,Bgm43,Skyscraper,ytdlp,https://www.youtube.com/watch?v=ZmkzRBeqCYQ,[MapleStory BGM] Skyscraper (KMS 1.2.240),128,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Skyscraper.mp3
MapleStory,city_machine,Bgm43,Unknown Part of City,ytdlp,https://www.youtube.com/watch?v=RplLRguFptU,[MapleStory BGM] Unknown Part of City (KMS 1.2.240),137,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Unknown Part of City.mp3
MapleStory,city_machine,Bgm53,Burning City,ytdlp,https://www.youtube.com/watch?v=4MBimZxNzyI,[MapleStory BGM] Cernium: Burning City,95,/workspaces/small_diffusion/ost_biome_dataset/audio/city_machine/Burning City.mp3
