game,biome_category,source_page,track_title,source_kind,source,resolved_title,duration_sec,local_path
MapleStory,desert_rock,Bgm13,Fight Sand,ytdlp,https://www.youtube.com/watch?v=RQ35yqS4XZg,[MapleStory BGM] Ariant: Fight Sand,128,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Fight Sand.mp3
MapleStory,desert_rock,Bgm14,Burning Road,ytdlp,https://www.youtube.com/watch?v=dPK41O2-odk,[MapleStory BGM] Ariant: Burning Road,141,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Burning Road.mp3
MapleStory,desert_rock,Bgm14,Hot Desert,ytdlp,https://www.youtube.com/watch?v=q9swmo6309U,[MapleStory BGM] Ariant: Hot Desert,139,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Hot Desert.mp3
MapleStory,desert_rock,Bgm15,Sunset Desert,ytdlp,https://www.youtube.com/watch?v=L9CYYgoZVAo,[MapleStory BGM] Ariant: Sunset Desert,158,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Sunset Desert.mp3
MapleStory,desert_rock,Bgm48,Verdel Field,ytdlp,https://www.youtube.com/watch?v=LEu4UOPN_Oc,[MapleStory BGM] Verdel Field,74,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Verdel Field.mp3
MapleStory,desert_rock,Bgm00,Nightmare,ytdlp,https://www.youtube.com/watch?v=9lwOsX763N0,[MapleStory BGM] Perion: Nightmare,191,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Nightmare.mp3
MapleStory,desert_rock,Bgm01,Where the Balrog From,ytdlp,https://www.youtube.com/watch?v=OC-b2p-D28s,[MapleStory BGM] Where The Balrog's From,188,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Where the Balrog From.mp3
MapleStory,desert_rock,Bgm12,Ancient Remains,ytdlp,https://www.youtube.com/watch?v=fdoT7nTWMO8,[MapleStory BGM] Perion: Ancient Remains,124,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Ancient Remains.mp3
MapleStory,desert_rock,Bgm12,Castle Ruins,ytdlp,https://www.youtube.com/watch?v=xeks7rE2m0o,[MapleStory BGM] Perion: Castle Ruins,147,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Castle Ruins.mp3
MapleStory,desert_rock,Bgm16,In Wartime,ytdlp,https://www.youtube.com/watch?v=I_p0XgfuoxE,[MapleStory BGM] In Wartime (KMST 1.2.415),124,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/In Wartime.mp3
MapleStory,desert_rock,Bgm48,Doomsday,ytdlp,https://www.youtube.com/watch?v=L9RYGQYiaSU,[MapleStory BGM] Ark: Doomsday,100,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Doomsday.mp3
MapleStory,desert_rock,Bgm57,A Mechanic With a Wander,ytdlp,https://www.youtube.com/watch?v=RkdFCsBZGGE,[MapleStory BGM] Hotel Arcs: A Mechanic With a Wander,104,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/A Mechanic With a Wander.mp3
MapleStory,desert_rock,Bgm57,Lonesome Cinema,ytdlp,https://www.youtube.com/watch?v=vlWk1jO31U0,[MapleStory BGM] Hotel Arcs: Lonesome Cinema,85,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Lonesome Cinema.mp3
MapleStory,desert_rock,Bgm57,Train Heading Nowhere,ytdlp,https://www.youtube.com/watch?v=C0P-N0ub7dc,[MapleStory BGM] Hotel Arcs: Train Heading Nowhere,96,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Train Heading Nowhere.mp3
MapleStory,desert_rock,Bgm57,Way Out of the Wilderness,ytdlp,https://www.youtube.com/watch?v=gKMeID5RiGg,[MapleStory BGM] Hotel Arcs: Way Out of the Wilderness,91,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Way Out of the Wilderness.mp3
MapleStory,desert_rock,Bgm57,Welcome to Hotel Arcs,ytdlp,https://www.youtube.com/watch?v=dzrBrgVBPCA,[MapleStory BGM] Hotel Arcs: Welcome to Hotel Arcs,98,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Welcome to Hotel Arcs.mp3
MapleStory,desert_rock,Bgm14,Ariant,ytdlp,https://www.youtube.com/watch?v=w1RgDSoOajw,[MapleStory BGM] Ariant,142,/workspaces/small_diffusion/ost_biome_dataset/audio/desert_rock/Ariant.mp3
