game,biome_category,source_page,track_title,source_kind,source,resolved_title,duration_sec,local_path
Terraria,forest_jungle,Music,Overworld Day,direct,https://terraria.wiki.gg/images/Music-Overworld_Day.mp3?5871cd,Overworld Day,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Overworld Day.mp3
Terraria,forest_jungle,Music,Night,direct,https://terraria.wiki.gg/images/Music-Overworld_Night.mp3?e0962f,Night,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Night.mp3
Terraria,forest_jungle,Music,Jungle,direct,https://terraria.wiki.gg/images/Music-Jungle.mp3?8b300d,Jungle,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Jungle.mp3
Terraria,forest_jungle,Music,Alt Overworld Day,direct,https://terraria.wiki.gg/images/Music-Alternate_Day.mp3?e976e4,Alt Overworld Day,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Alt Overworld Day.mp3
Terraria,forest_jungle,Music,Temple,direct,https://terraria.wiki.gg/images/Music-Lihzahrd.mp3?7a8da0,Temple,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Temple.mp3
Terraria,forest_jungle,Music,Jungle Night,direct,https://terraria.wiki.gg/images/Music-Surface_Night_Jungle.mp3?ec4fdc,Jungle Night,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Jungle Night.mp3
Terraria,forest_jungle,Music,Overworld Day (Otherworldly),direct,https://terraria.wiki.gg/images/Music-Forest_Day_%28Otherworldly%29.mp3?b07d86,Overworld Day Otherworldly,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Overworld Day Otherworldly.mp3
Terraria,forest_jungle,Music,Night (Otherworldly),direct,https://terraria.wiki.gg/images/Music-Forest_Night_%28Otherworldly%29.mp3?135a8a,Night Otherworldly,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Night Otherworldly.mp3
Terraria,forest_jungle,Music Boxes,[https://www.youtube.com/watch?v=JMUSOWm5ZCs YouTube],direct,https://terraria.wiki.gg/images/Music-Surface_Night_Jungle.mp3?ec4fdc,httpswwwyoutubecomwatchvJMUSOWm5ZCs YouTube,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/httpswwwyoutubecomwatchvJMUSOWm5ZCs YouTube.mp3
Terraria,forest_jungle,Music Boxes,[https://www.youtube.com/watch?v=7fSz0y9Mcp4 YouTube],direct,https://terraria.wiki.gg/images/Music-Morning_Rain.mp3?a25d96,httpswwwyoutubecomwatchv7fSz0y9Mcp4 YouTube,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/httpswwwyoutubecomwatchv7fSz0y9Mcp4 YouTube.mp3
Terraria,forest_jungle,Music,Underground Jungle,direct,https://terraria.wiki.gg/images/Music-Underground_Jungle.mp3?12fec1,Underground Jungle,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Underground Jungle.mp3
Terraria,forest_jungle,Music,Plantera (Otherworldly),direct,https://terraria.wiki.gg/images/Music-Plantera_%28Otherworldly%29.mp3?ffc794,Plantera Otherworldly,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Plantera Otherworldly.mp3
Terraria,forest_jungle,Music,Jungle (Otherworldly),direct,https://terraria.wiki.gg/images/Music-Jungle_%28Otherworldly%29.mp3?6a30dd,Jungle Otherworldly,,/workspaces/small_diffusion/ost_biome_dataset/audio/forest_jungle/Jungle Otherworldly.mp3
,,,Subnautica,ytdlp,In Bloom,,,
,,,Subnautica,ytdlp,Mushroom Forest,,,
,,,Subnautica,ytdlp,Safe in Kelp Forest,,,
,,,track_16,ytdlp,ytsearch1:  official soundtrack,,,
