game,biome_category,source_page,track_title,source_kind,source,resolved_title,duration_sec,local_path
MapleStory,sea_underwater,Bgm02,Above the Treetops,ytdlp,https://www.youtube.com/watch?v=F6LIFBVhObQ,[MapleStory BGM] Lith Harbor: Above the Treetops,271,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Above the Treetops.mp3
MapleStory,sea_underwater,Bgm03,Beachway,ytdlp,https://www.youtube.com/watch?v=9VqPnUL9Qvs,[MapleStory BGM] Florina Beach: Beachway,196,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Beachway.mp3
MapleStory,sea_underwater,Bgm11,Shining Sea,ytdlp,https://www.youtube.com/watch?v=3jdRxzy3K9s,[MapleStory BGM] Aqua Road: Shining Sea,178,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Shining Sea.mp3
MapleStory,sea_underwater,Bgm15,Nautilus,ytdlp,https://www.youtube.com/watch?v=iZaVKkfuD6s,[MapleStory BGM] Nautilus,122,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Nautilus.mp3
MapleStory,sea_underwater,Bgm17,Gold Beach,ytdlp,https://www.youtube.com/watch?v=pyxpWEl3St0,[MapleStory BGM] Gold Beach (KMS 1.2.178),139,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Gold Beach.mp3
MapleStory,sea_underwater,Bgm49,Contaminated Sea,ytdlp,https://www.youtube.com/watch?v=F_X8tsNGY-4,[MapleStory BGM] Esfera: Contaminated Sea,96,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Contaminated Sea.mp3
MapleStory,sea_underwater,Bgm55,Sinking Things,ytdlp,https://www.youtube.com/watch?v=qeOWrkvyJaM,[MapleStory BGM] Sellas: Sinking Things,117,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Sinking Things.mp3
MapleStory,sea_underwater,Bgm55,Whale Belly,ytdlp,https://www.youtube.com/watch?v=sldMc60a1Ns,[MapleStory BGM] Sellas: Whale Belly,115,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Whale Belly.mp3
MapleStory,sea_underwater,Bgm60,An Occupied Coast,ytdlp,https://www.youtube.com/watch?v=Emtn0U3bro4,[MapleStory BGM] Carcion: An Occupied Coast,94,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/An Occupied Coast.mp3
MapleStory,sea_underwater,Bgm61,Wind Flowing in the Harbor,ytdlp,https://www.youtube.com/watch?v=mKhyvIKVW18,[MapleStory BGM] Vallora: Wind Flowing in the Harbor,182,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Wind Flowing in the Harbor.mp3
MapleStory,sea_underwater,Bgm11,Aquarium,ytdlp,https://www.youtube.com/watch?v=qtw0sIBLjrw,[MapleStory BGM] Aquarium,145,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Aquarium.mp3
MapleStory,sea_underwater,Bgm11,Blue World,ytdlp,https://www.youtube.com/watch?v=EnHRl2Wnabk,[MapleStory BGM] Aqua Road: Blue World,136,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Blue World.mp3
MapleStory,sea_underwater,Bgm15,Interior of Nautilus,ytdlp,https://www.youtube.com/watch?v=eZ8LtJlzvyU,[MapleStory BGM] Interior of Nautilus,152,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Interior of Nautilus.mp3
MapleStory,sea_underwater,Bgm49,A Place Where Life Begins,ytdlp,https://www.youtube.com/watch?v=BZvty--jyIw,[MapleStory BGM] Esfera: A Place Where Life Begins,112,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/A Place Where Life Begins.mp3
MapleStory,sea_underwater,Bgm49,Le Temple du Miroir,ytdlp,https://www.youtube.com/watch?v=3vsyU0DHYxo,[MapleStory BGM] Esfera: Le Temple du Miroir,96,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Le Temple du Miroir.mp3
MapleStory,sea_underwater,Bgm55,Where Stars Rest,ytdlp,https://www.youtube.com/watch?v=c8vFuvYtPZI,[MapleStory BGM] Sellas: Where Stars Rest,125,/workspaces/small_diffusion/ost_biome_dataset/audio/sea_underwater/Where Stars Rest.mp3
